iter	MultiClass
0	1.589567554
1	1.570458481
2	1.552059881
3	1.534399409
4	1.517582418
5	1.501148418
6	1.485209512
7	1.469727004
8	1.454844695
9	1.440350213
10	1.426400227
11	1.412799755
12	1.39964615
13	1.386818678
14	1.374355285
15	1.362273921
16	1.3504631
17	1.338964064
18	1.327729137
19	1.316846013
20	1.30627164
21	1.295902733
22	1.285777719
23	1.275893179
24	1.266228712
25	1.256929453
26	1.247762298
27	1.23876997
28	1.229983995
29	1.221380573
30	1.213001532
31	1.204779778
32	1.19670672
33	1.188790034
34	1.181081067
35	1.173575556
36	1.166116028
37	1.15884435
38	1.151751581
39	1.144803973
40	1.137956145
41	1.13123273
42	1.124717696
43	1.11829625
44	1.111945034
45	1.105674498
46	1.09956255
47	1.093526243
48	1.087650964
49	1.081908536
50	1.076223449
51	1.070632443
52	1.065136664
53	1.059752898
54	1.054489524
55	1.049335125
56	1.044292529
57	1.039337207
58	1.034386837
59	1.029569685
60	1.024812575
61	1.020099892
62	1.0154768
63	1.010916437
64	1.006501597
65	1.002120804
66	0.9978056145
67	0.9936111914
68	0.9894468682
69	0.9853410484
70	0.9813061998
71	0.9773607788
72	0.9734322627
73	0.9695703581
74	0.9657664601
75	0.9620008923
76	0.9583046333
77	0.9547161667
78	0.9511730939
79	0.9476911254
80	0.9442587566
81	0.9408230671
82	0.9374700833
83	0.9341692309
84	0.9309020942
85	0.9276642811
86	0.9245086227
87	0.9214226131
88	0.9183694565
89	0.9153177008
90	0.9123941699
91	0.9094685241
92	0.9066046252
93	0.9037350767
94	0.9008977606
95	0.898158289
96	0.8954406964
97	0.8927662297
98	0.8901202791
99	0.8874837922
100	0.8849029901
101	0.8823844
102	0.879906329
103	0.8774382936
104	0.8750107068
105	0.8726059447
106	0.8702279185
107	0.8678685687
108	0.86554054
109	0.8632550541
110	0.8610038903
111	0.8587766
112	0.8566068432
113	0.8544364883
114	0.8523047694
115	0.850212542
116	0.8481420961
117	0.8460744086
118	0.8440784078
119	0.8420600628
120	0.8400834858
121	0.8381384639
122	0.8362445057
123	0.8343567231
124	0.8325206746
125	0.8307148759
126	0.8289114584
127	0.8271097045
128	0.8253436001
129	0.8235758942
130	0.8218447327
131	0.8201229468
132	0.8184359335
133	0.8168037683
134	0.8151620558
135	0.8135468505
136	0.8119569953
137	0.8103639674
138	0.8087874652
139	0.8072644804
140	0.8057708236
141	0.804269177
142	0.8028119033
143	0.8013596064
144	0.7999458868
145	0.7985136826
146	0.7971046626
147	0.7957056403
148	0.7943261374
149	0.7930045375
150	0.7916847452
151	0.790351716
152	0.7890784145
153	0.7878174007
154	0.7865541155
155	0.7853204907
156	0.7841278301
157	0.7828927338
158	0.7816829619
159	0.7804631788
160	0.7792773547
161	0.7781069874
162	0.7769610739
163	0.7758320119
164	0.7747586206
165	0.7736518742
166	0.7725374004
167	0.7714507855
168	0.7703961766
169	0.7693257714
170	0.76831075
171	0.7673000099
172	0.7662870692
173	0.7652635109
174	0.7642742897
175	0.7632694512
176	0.7622975036
177	0.7613504546
178	0.7603910568
179	0.7594725715
180	0.758540096
181	0.7576407213
182	0.7567458618
183	0.7558646041
184	0.7549705887
185	0.754084264
186	0.7532204377
187	0.7523959618
188	0.7515490388
189	0.7507233144
190	0.7499004589
191	0.7490786477
192	0.7482709457
193	0.7474628366
194	0.7466671876
195	0.7459034125
196	0.7451357445
197	0.7443678213
198	0.7436106877
199	0.7429096019
