iter	Passed	Remaining
0	81	16246
1	158	15658
2	229	15093
3	304	14898
4	378	14769
5	454	14681
6	529	14592
7	607	14571
8	685	14549
9	760	14444
10	837	14390
11	915	14339
12	996	14329
13	1075	14287
14	1149	14178
15	1223	14073
16	1303	14036
17	1383	13988
18	1460	13916
19	1540	13866
20	1619	13805
21	1696	13727
22	1774	13659
23	1854	13600
24	1929	13509
25	2001	13397
26	2077	13311
27	2152	13224
28	2227	13134
29	2300	13036
30	2371	12928
31	2446	12842
32	2521	12758
33	2597	12681
34	2675	12611
35	2750	12530
36	2823	12438
37	2894	12337
38	2968	12253
39	3041	12167
40	3112	12072
41	3188	11996
42	3261	11909
43	3338	11837
44	3413	11756
45	3490	11686
46	3563	11601
47	3640	11527
48	3718	11459
49	3792	11377
50	3871	11310
51	3946	11233
52	4020	11150
53	4094	11069
54	4170	10995
55	4241	10907
56	4311	10815
57	4387	10742
58	4464	10670
59	4534	10581
60	4614	10515
61	4689	10437
62	4763	10358
63	4838	10281
64	4914	10206
65	4986	10124
66	5061	10046
67	5141	9980
68	5217	9905
69	5292	9829
70	5368	9753
71	5442	9676
72	5518	9601
73	5597	9531
74	5675	9458
75	5755	9389
76	5829	9312
77	5910	9244
78	5985	9168
79	6061	9092
80	6138	9018
81	6216	8945
82	6288	8864
83	6362	8786
84	6440	8713
85	6515	8636
86	6592	8562
87	6667	8485
88	6740	8407
89	6817	8332
90	6898	8263
91	6976	8189
92	7055	8117
93	7130	8040
94	7206	7965
95	7280	7887
96	7357	7813
97	7432	7735
98	7504	7655
99	7576	7576
100	7649	7498
101	7727	7424
102	7805	7351
103	7881	7275
104	7964	7206
105	8044	7133
106	8123	7060
107	8199	6984
108	8274	6908
109	8352	6833
110	8427	6757
111	8508	6685
112	8597	6618
113	8673	6543
114	8750	6467
115	8828	6393
116	8905	6317
117	8983	6243
118	9055	6163
119	9129	6086
120	9200	6007
121	9276	5930
122	9354	5855
123	9424	5776
124	9502	5701
125	9576	5624
126	9652	5548
127	9727	5471
128	9805	5396
129	9881	5320
130	9958	5245
131	10034	5169
132	10110	5093
133	10184	5016
134	10261	4940
135	10338	4865
136	10412	4788
137	10483	4709
138	10557	4633
139	10628	4555
140	10699	4476
141	10770	4399
142	10843	4322
143	10921	4247
144	10996	4171
145	11080	4098
146	11165	4025
147	11239	3949
148	11309	3871
149	11379	3793
150	11452	3716
151	11528	3640
152	11605	3565
153	11686	3490
154	11760	3414
155	11832	3337
156	11906	3260
157	11980	3184
158	12055	3108
159	12131	3032
160	12202	2955
161	12273	2878
162	12351	2803
163	12422	2726
164	12494	2650
165	12572	2575
166	12651	2500
167	12733	2425
168	12802	2348
169	12877	2272
170	12976	2200
171	13063	2126
172	13136	2050
173	13226	1976
174	13327	1903
175	13414	1829
176	13500	1754
177	13580	1678
178	13658	1602
179	13737	1526
180	13809	1449
181	13880	1372
182	13955	1296
183	14033	1220
184	14112	1144
185	14191	1068
186	14267	991
187	14342	915
188	14413	838
189	14486	762
190	14562	686
191	14634	609
192	14708	533
193	14784	457
194	14858	380
195	14925	304
196	14996	228
197	15067	152
198	15144	76
199	15213	0
